,image_id,class_id
0,frame0.jpg,0
1,frame1.jpg,0
2,frame2.jpg,0
3,frame3.jpg,0
4,frame4.jpg,0
5,frame5.jpg,0
6,frame6.jpg,0
7,frame7.jpg,0
8,frame8.jpg,0
9,frame9.jpg,0
10,frame10.jpg,0
11,frame11.jpg,1
12,frame12.jpg,1
13,frame13.jpg,1
14,frame14.jpg,1
15,frame15.jpg,1
16,frame16.jpg,0
17,frame17.jpg,0
18,frame18.jpg,0
19,frame19.jpg,1
20,frame20.jpg,1
21,frame21.jpg,1
22,frame22.jpg,1
23,frame23.jpg,1
24,frame24.jpg,1
25,frame25.jpg,1
26,frame26.jpg,1
27,frame27.jpg,1
28,frame28.jpg,1
29,frame29.jpg,1
30,frame30.jpg,1
31,frame31.jpg,1
32,frame32.jpg,2
33,frame33.jpg,2
34,frame34.jpg,2
35,frame35.jpg,2
36,frame36.jpg,2
37,frame37.jpg,2
38,frame38.jpg,2
39,frame39.jpg,2
40,frame40.jpg,2
41,frame41.jpg,2
42,frame42.jpg,2
43,frame43.jpg,2
44,frame44.jpg,2
45,frame45.jpg,2
46,frame46.jpg,2
47,frame47.jpg,2
48,frame48.jpg,2
49,frame49.jpg,2
50,frame50.jpg,2
51,frame51.jpg,2
52,frame52.jpg,2
53,frame53.jpg,2
54,frame54.jpg,2
55,frame55.jpg,2
56,frame56.jpg,2
57,frame57.jpg,2
58,frame58.jpg,2
59,frame59.jpg,2
60,frame60.jpg,2
61,frame61.jpg,2
62,frame62.jpg,2
63,frame63.jpg,0
64,frame64.jpg,0
65,frame65.jpg,0
66,frame66.jpg,0
67,frame67.jpg,0
68,frame68.jpg,0
69,frame69.jpg,0
70,frame70.jpg,0
71,frame71.jpg,0
72,frame72.jpg,0
73,frame73.jpg,0
74,frame74.jpg,0
75,frame75.jpg,2
76,frame76.jpg,2
77,frame77.jpg,2
78,frame78.jpg,2
79,frame79.jpg,2
80,frame80.jpg,2
81,frame81.jpg,2
82,frame82.jpg,2
83,frame83.jpg,2
84,frame84.jpg,2
85,frame85.jpg,2
86,frame86.jpg,2
87,frame87.jpg,2
88,frame88.jpg,2
89,frame89.jpg,2
90,frame90.jpg,2
91,frame91.jpg,2
92,frame92.jpg,2
93,frame93.jpg,2
94,frame94.jpg,2
95,frame95.jpg,2
96,frame96.jpg,2
97,frame97.jpg,2
98,frame98.jpg,2
99,frame99.jpg,3
100,frame100.jpg,3
101,frame101.jpg,3
102,frame102.jpg,3
103,frame103.jpg,3
104,frame104.jpg,3
105,frame105.jpg,3
106,frame106.jpg,3
107,frame107.jpg,3
108,frame108.jpg,3
109,frame109.jpg,3
110,frame110.jpg,3
111,frame111.jpg,3
112,frame112.jpg,3
113,frame113.jpg,4
114,frame114.jpg,4
115,frame115.jpg,4
116,frame116.jpg,4
117,frame117.jpg,4
118,frame118.jpg,4
119,frame119.jpg,4
120,frame120.jpg,4
121,frame121.jpg,5
122,frame122.jpg,5
123,frame123.jpg,5
124,frame124.jpg,5
125,frame125.jpg,5
126,frame126.jpg,0
127,frame127.jpg,0
128,frame128.jpg,0
129,frame129.jpg,0
130,frame130.jpg,0
131,frame131.jpg,0
132,frame132.jpg,0
133,frame133.jpg,0
134,frame134.jpg,0
135,frame135.jpg,0
136,frame136.jpg,0
137,frame137.jpg,0
138,frame138.jpg,0
139,frame139.jpg,0
140,frame140.jpg,0
141,frame141.jpg,0
142,frame142.jpg,0
143,frame143.jpg,0
144,frame144.jpg,0
145,frame145.jpg,0
146,frame146.jpg,0
147,frame147.jpg,0
148,frame148.jpg,0
149,frame149.jpg,5
150,frame150.jpg,5
151,frame151.jpg,5
152,frame152.jpg,5
153,frame153.jpg,6
154,frame154.jpg,6
155,frame155.jpg,6
156,frame156.jpg,6
157,frame157.jpg,6
158,frame158.jpg,6
159,frame159.jpg,6
160,frame160.jpg,6
161,frame161.jpg,7
162,frame162.jpg,7
163,frame163.jpg,7
164,frame164.jpg,7
165,frame165.jpg,7
166,frame166.jpg,7
167,frame167.jpg,7
168,frame168.jpg,7
169,frame169.jpg,8
170,frame170.jpg,8
171,frame171.jpg,8
172,frame172.jpg,8
173,frame173.jpg,8
174,frame174.jpg,8
175,frame175.jpg,2
176,frame176.jpg,2
177,frame177.jpg,2
178,frame178.jpg,8
179,frame179.jpg,8
180,frame180.jpg,8
181,frame181.jpg,8
182,frame182.jpg,8
183,frame183.jpg,8
184,frame184.jpg,8
185,frame185.jpg,8
186,frame186.jpg,8
187,frame187.jpg,8
188,frame188.jpg,8
189,frame189.jpg,0
